Dataset,Dataset_Name,Clinical_Variable,beta,p.value,SE,HR,HR.confint.lower,HR.confint.upper,wald.test
GSE13041,"Lee Y*et al.,2008",AgeGroup_C,0.7151,0.00441,0.2512,2.0444,,,
GSE13041,"Lee Y*et al.,2008",AgeGroup_D,0.825,0.00194,0.2662,2.2819,,,
GSE36245,"Sturm D et al.,2012",Gender_Cat,0.376,0.398,0.445,1.46,0.61,3.5,0.71
GSE36245,"Sturm D et al.,2012",age_at_diagnosis,0.0245,0.66,0.0559,1.02,0.92,1.1,0.19
GSE36245,"Sturm D et al.,2012",IDH_status,-20,0.997,6010,2.13E-09,0,Inf,0
GSE36245,"Sturm D et al.,2012",AgeGroup_B,0.6754,0.118,0.4318,1.9648,,,
GSE43289,"Vital AL et al.,2010",Gender_Cat,0.376,0.398,0.445,1.46,0.61,3.5,0.71
GSE43289,"Vital AL et al.,2010",age_at_diagnosis,0.0245,0.66,0.0559,1.02,0.92,1.1,0.19
GSE43289,"Vital AL et al.,2010",AgeGroup_B,0.3189,0.788,1.1867,1.3756,,,
GSE43289,"Vital AL et al.,2010",AgeGroup_C,-0.1906,0.789,0.7123,0.8265,,,
GSE43289,"Vital AL et al.,2010",AgeGroup_D,0.306,0.702,0.8008,1.358,,,
IVY_GAP,"Puchalski R.B. et al. ,2018",age_at_diagnosis,0.00389,0.882,0.0263,1,0.95,1.1,0.02
IVY_GAP,"Puchalski R.B. et al. ,2018",MGMT,1.35,0.0186,0.572,3.84,1.3,12,5.54
IVY_GAP,"Puchalski R.B. et al. ,2018",AgeGroup_B,-0.5547,0.395,0.6519,0.5743,,,
IVY_GAP,"Puchalski R.B. et al. ,2018",AgeGroup_C,-0.2776,0.644,0.6008,0.7576,,,
IVY_GAP,"Puchalski R.B. et al. ,2018",AgeGroup_D,-0.0835,0.907,0.7157,0.9199,,,
GSE42760,"Joo KM et al.,2013",age_at_diagnosis,0.0199,0.246,0.0171,1.02,0.99,1.1,1.34
GSE42760,"Joo KM et al.,2013",Gender_Cat,-0.307,0.367,0.34,0.736,0.38,1.4,0.82
GSE42760,"Joo KM et al.,2013",AgeGroup_B,-0.2705,0.523,0.4237,0.763,,,
GSE42760,"Joo KM et al.,2013",AgeGroup_C,0.126,0.768,0.4267,1.1343,,,
GSE42760,"Joo KM et al.,2013",AgeGroup_D,1.0315,0.086,0.6009,2.8053,,,
Ducray,"Ducray F. et al.,2010",age_at_diagnosis,0.0413,0.0229,0.0181,1.04,1,1.1,5.18
Ducray,"Ducray F. et al.,2010",MGMT,-0.336,0.623,0.684,0.714,0.19,2.7,0.24
Ducray,"Ducray F. et al.,2010",AgeGroup_B,0.3567,0.45811,0.4807,1.4286,,,
Ducray,"Ducray F. et al.,2010",AgeGroup_C,0.5619,0.26223,0.5012,1.754,,,
Ducray,"Ducray F. et al.,2010",AgeGroup_D,1.6866,0.00724,0.628,5.4013,,,
Freiji,"Freije WA. et al.,2004",age_at_diagnosis,0.0264,0.063,0.0142,1.03,1,1.1,3.46
Freiji,"Freije WA. et al.,2004",Gender_Cat,0.57,0.113,0.359,1.77,0.87,3.6,2.52
Freiji,"Freije WA. et al.,2004",AgeGroup_B,0.9503,0.0345,0.4495,2.5864,,,
Freiji,"Freije WA. et al.,2004",AgeGroup_C,0.3694,0.4619,0.5021,1.4469,,,
Freiji,"Freije WA. et al.,2004",AgeGroup_D,0.9305,0.0905,0.5497,2.5357,,,
